"block_id","chr","start_pos","end_pos","n_snps"
"block_95",2,9800000,9900000,2
"block_96",2,10000000,10100000,2
"block_97",2,10200000,10300000,2
"block_98",2,10400000,10500000,2
"block_99",2,10600000,10700000,2
"block_100",2,10800000,10900000,2
"block_101",3,1000000,1100000,2
"block_102",3,1200000,1300000,2
"block_103",3,1400000,1500000,2
"block_104",3,1600000,1700000,2
"block_105",3,1800000,1900000,2
"block_106",3,2000000,2100000,2
"block_107",3,2200000,2300000,2
"block_108",3,2400000,2500000,2
"block_109",3,2600000,2700000,2
"block_110",3,2800000,2900000,2
"block_111",3,3000000,3100000,2
"block_112",3,3200000,3300000,2
"block_113",3,3400000,3500000,2
"block_114",3,3600000,3700000,2
"block_115",3,3800000,3900000,2
"block_116",3,4000000,4100000,2
"block_117",3,4200000,4300000,2
"block_118",3,4400000,4500000,2
"block_119",3,4600000,4700000,2
"block_120",3,4800000,4900000,2
"block_121",3,5000000,5100000,2
"block_122",3,5200000,5300000,2
"block_123",3,5400000,5500000,2
"block_124",3,5600000,5700000,2
"block_125",3,5800000,5900000,2
"block_126",3,6000000,6100000,2
"block_127",3,6200000,6300000,2
"block_128",3,6400000,6500000,2
"block_129",3,6600000,6700000,2
"block_130",3,6800000,6900000,2
"block_131",3,7000000,7100000,2
"block_132",3,7200000,7300000,2
"block_133",3,7400000,7500000,2
"block_134",3,7600000,7700000,2
"block_135",3,7800000,7900000,2
"block_136",3,8000000,8100000,2
"block_137",3,8200000,8300000,2
"block_138",3,8400000,8500000,2
"block_139",3,8600000,8700000,2
"block_140",3,8800000,8900000,2
"block_141",3,9000000,9100000,2
"block_142",3,9200000,9300000,2
"block_143",3,9400000,9500000,2
"block_144",3,9600000,9700000,2
"block_145",3,9800000,9900000,2
"block_146",3,10000000,10100000,2
"block_147",3,10200000,10300000,2
"block_148",3,10400000,10500000,2
"block_149",3,10600000,10700000,2
"block_150",3,10800000,10900000,2
"block_151",4,1000000,1100000,2
"block_152",4,1200000,1300000,2
"block_153",4,1400000,1500000,2
"block_154",4,1600000,1700000,2
"block_155",4,1800000,1900000,2
"block_156",4,2000000,2100000,2
"block_157",4,2200000,2300000,2
"block_158",4,2400000,2500000,2
"block_159",4,2600000,2700000,2
"block_160",4,2800000,2900000,2
"block_161",4,3000000,3100000,2
"block_162",4,3200000,3300000,2
"block_163",4,3400000,3500000,2
"block_164",4,3600000,3700000,2
"block_165",4,3800000,3900000,2
"block_166",4,4000000,4100000,2
"block_167",4,4200000,4300000,2
"block_168",4,4400000,4500000,2
"block_169",4,4600000,4700000,2
"block_170",4,4800000,4900000,2
"block_171",4,5000000,5100000,2
"block_172",4,5200000,5300000,2
"block_173",4,5400000,5500000,2
"block_174",4,5600000,5700000,2
"block_175",4,5800000,5900000,2
"block_176",4,6000000,6100000,2
"block_177",4,6200000,6300000,2
"block_178",4,6400000,6500000,2
"block_179",4,6600000,6700000,2
"block_180",4,6800000,6900000,2
"block_181",4,7000000,7100000,2
"block_182",4,7200000,7300000,2
"block_183",4,7400000,7500000,2
"block_184",4,7600000,7700000,2
"block_185",4,7800000,7900000,2
"block_186",4,8000000,8100000,2
"block_187",4,8200000,8300000,2
"block_188",4,8400000,8500000,2
"block_189",4,8600000,8700000,2
"block_190",4,8800000,8900000,2
"block_191",4,9000000,9100000,2
"block_192",4,9200000,9300000,2
"block_193",4,9400000,9500000,2
"block_194",4,9600000,9700000,2
"block_195",4,9800000,9900000,2
"block_196",4,10000000,10100000,2
"block_197",4,10200000,10300000,2
"block_198",4,10400000,10500000,2
"block_199",4,10600000,10700000,2
"block_200",4,10800000,10900000,2
"block_201",5,1000000,1100000,2
"block_202",5,1200000,1300000,2
"block_203",5,1400000,1500000,2
"block_204",5,1600000,1700000,2
"block_205",5,1800000,1900000,2
"block_206",5,2000000,2100000,2
"block_207",5,2200000,2300000,2
"block_208",5,2400000,2500000,2
"block_209",5,2600000,2700000,2
"block_210",5,2800000,2900000,2
"block_211",5,3000000,3100000,2
"block_212",5,3200000,3300000,2
"block_213",5,3400000,3500000,2
"block_214",5,3600000,3700000,2
"block_215",5,3800000,3900000,2
"block_216",5,4000000,4100000,2
"block_217",5,4200000,4300000,2
"block_218",5,4400000,4500000,2
"block_219",5,4600000,4700000,2
"block_220",5,4800000,4900000,2
"block_221",5,5000000,5100000,2
"block_222",5,5200000,5300000,2
"block_223",5,5400000,5500000,2
"block_224",5,5600000,5700000,2
"block_225",5,5800000,5900000,2
"block_226",5,6000000,6100000,2
"block_227",5,6200000,6300000,2
"block_228",5,6400000,6500000,2
"block_229",5,6600000,6700000,2
"block_230",5,6800000,6900000,2
"block_231",5,7000000,7100000,2
"block_232",5,7200000,7300000,2
"block_233",5,7400000,7500000,2
"block_234",5,7600000,7700000,2
"block_235",5,7800000,7900000,2
"block_236",5,8000000,8100000,2
"block_237",5,8200000,8300000,2
"block_238",5,8400000,8500000,2
"block_239",5,8600000,8700000,2
"block_240",5,8800000,8900000,2
"block_241",5,9000000,9100000,2
"block_242",5,9200000,9300000,2
"block_243",5,9400000,9500000,2
"block_244",5,9600000,9700000,2
"block_245",5,9800000,9900000,2
"block_246",5,10000000,10100000,2
"block_247",5,10200000,10300000,2
"block_248",5,10400000,10500000,2
"block_249",5,10600000,10700000,2
"block_250",5,10800000,10900000,2
